ID,Gender,Birthdate,Years Graduated,Salary
604399,F,10/22/1990,11,445000
988334,M,5/15/1990,10,110000
301647,M,8/21/1989,13,255000
582313,M,5/4/1991,11,420000
339001,F,10/30/1990,12,200000
609356,F,12/2/1989,11,440000
1081649,F,4/17/1989,11,150000
610842,F,4/11/1991,11,105000
1183070,M,11/25/1992,10,195000
794062,F,3/15/1993,10,200000
1088206,M,6/21/1990,11,335000
1279958,M,7/2/1992,11,300000
471413,F,12/24/1991,11,480000
1088423,F,8/9/1992,10,550000
1066680,M,9/12/1991,10,325000
407672,M,9/30/1990,12,405000
205633,M,5/25/1988,13,500000
924541,F,2/25/1992,10,210000
512353,M,10/25/1991,11,400000
1136577,M,5/22/1991,11,360000
781327,M,11/21/1987,11,240000
764522,F,1/14/1992,10,120000
203323,M,11/3/1986,13,430000
267354,M,8/5/1988,13,120000
839626,F,4/10/1991,12,120000
1169332,F,3/9/1990,12,120000
669692,M,5/4/1992,11,600000
48029,M,12/20/1988,14,500000
1268344,M,3/10/1990,10,240000
1274612,M,9/17/1989,12,200000
230553,M,5/1/1992,13,80000
1259836,M,2/26/1992,11,330000
634352,F,4/4/1990,11,450000
977034,M,6/18/1990,10,240000
668869,M,9/1/1991,11,325000
915600,M,6/26/1991,12,215000
628753,M,12/22/1991,11,315000
1036215,M,5/3/1992,10,220000
955352,M,12/8/1991,10,180000
449417,M,1/1/1988,12,240000
1038837,M,9/21/1990,11,60000
309954,M,12/8/1991,12,165000
54289,M,9/27/1986,11,180000
615097,M,11/14/1991,10,150000
96613,M,10/7/1988,14,370000
542950,M,8/21/1991,11,145000
781196,M,2/9/1991,11,100000
38441,M,11/19/1984,14,300000
1269557,M,7/30/1990,10,240000
512864,M,9/10/1990,12,500000
390353,M,4/14/1990,12,300000
1230200,M,7/12/1990,10,300000
206976,M,3/2/1990,13,510000
908780,F,10/14/1993,10,150000
982729,M,2/24/1993,10,240000
385303,M,7/2/1990,12,145000
355322,M,6/3/1991,12,240000
730991,M,10/7/1990,11,310000
326762,M,7/26/1991,12,450000
125654,M,5/20/1987,14,380000
984121,F,3/20/1992,10,300000
744799,M,6/1/1992,11,300000
1048133,M,7/22/1992,11,200000
1094787,M,2/9/1992,10,170000
661812,F,9/23/1991,11,95000
818701,M,12/15/1989,12,335000
1063653,M,11/14/1991,11,110000
189121,M,3/4/1990,13,450000
640037,F,6/22/1991,11,200000
906284,M,7/26/1993,10,310000
330544,M,2/25/1991,12,200000
643957,M,12/22/1990,11,240000
335906,F,5/24/1991,12,300000
657409,M,1/8/1992,11,75000
271549,M,2/26/1989,13,330000
964017,M,2/14/1993,10,140000
1066577,M,10/18/1992,10,320000
87319,M,10/27/1986,14,1210000
962441,M,8/10/1992,10,700000
335296,M,8/17/1989,12,120000
833277,M,2/28/1991,10,200000
239756,M,4/10/1989,13,315000
555652,M,11/14/1990,11,305000
543832,M,8/1/1992,11,335000
244546,M,3/3/1989,13,410000
610635,F,1/24/1991,11,200000
1076441,M,6/20/1991,11,315000
754392,M,2/18/1992,11,120000
330813,F,5/31/1990,12,310000
1072316,M,10/15/1990,11,375000
1242113,M,6/3/1992,10,240000
1084099,M,12/19/1990,11,295000
435378,M,4/8/1990,12,360000
108999,F,2/26/1987,14,260000
982410,M,7/5/1992,10,180000
1251678,M,12/23/1990,11,100000
920550,F,8/10/1993,10,160000
134985,M,10/23/1983,14,310000
1062180,M,6/28/1991,11,80000
1219078,M,7/17/1991,10,325000
333542,F,11/12/1990,12,400000
619605,M,6/28/1991,11,475000
921298,M,5/28/1993,10,180000
343541,F,2/2/1991,12,250000
1284293,M,6/20/1992,9,150000
53838,M,6/12/1987,14,100000
1261333,M,5/16/1992,10,300000
52923,M,8/16/1989,14,465000
332800,M,7/10/1990,11,200000
1190691,M,3/16/1993,10,360000
196482,M,9/16/1989,13,400000
110863,M,8/4/1988,14,720000
79007,M,8/26/1987,14,505000
263901,F,1/16/1990,13,380000
552730,F,3/7/1992,11,375000
111273,M,11/5/1988,14,290000
604198,M,3/9/1990,11,350000
30122,M,7/20/1985,14,100000
920332,M,9/3/1991,10,230000
282000,M,3/23/1989,13,315000
1083018,M,8/25/1992,10,615000
1069526,M,4/12/1991,11,200000
810018,M,9/21/1992,10,180000
1262987,M,12/4/1992,10,260000
53921,M,3/25/1988,14,1110000
281866,M,6/25/1988,13,170000
1098849,M,11/5/1991,11,180000
827639,M,2/1/1993,10,340000
133296,M,12/20/1988,14,145000
878844,M,3/18/1993,10,120000
295362,F,7/25/1989,13,180000
811394,M,4/22/1990,10,325000
879261,M,3/24/1987,12,95000
530147,M,11/7/1993,11,205000
815714,F,10/9/1991,11,280000
1290109,M,11/4/1990,10,215000
729532,M,8/11/1991,11,200000
1058583,M,3/31/1990,13,350000
390616,M,10/7/1990,12,190000
283428,M,4/5/1990,13,520000
64844,M,7/10/1987,14,335000
359993,M,5/20/1990,12,220000
82837,M,3/15/1990,13,450000
239715,M,12/1/1989,13,445000
831320,M,5/20/1993,10,200000
601131,M,3/25/1991,11,420000
1199988,M,6/17/1993,10,100000
324330,M,1/22/1990,12,120000
1112865,M,9/4/1992,10,315000
305041,F,1/18/1990,13,480000
1062173,M,6/29/1992,11,145000
327623,M,9/27/1990,12,450000
360992,F,10/24/1990,12,235000
1044759,M,1/5/1992,10,330000
454921,M,10/30/1988,12,320000
283164,M,6/15/1989,13,715000
1238094,M,9/9/1990,9,145000
702081,M,9/20/1990,12,180000
470741,F,8/6/1990,12,180000
1088859,M,6/27/1992,10,75000
431891,F,10/9/1989,12,280000
272323,F,8/24/1989,13,390000
1008832,M,6/28/1992,11,325000
852303,M,6/7/1992,11,300000
794755,F,4/5/1992,10,450000
535627,M,12/17/1992,10,505000
612621,M,6/18/1992,11,240000
797585,M,11/14/1989,11,240000
294861,M,12/12/1988,14,200000
919485,M,2/28/1993,10,450000
328471,M,8/18/1990,12,335000
319780,F,1/23/1989,13,310000
190589,F,4/20/1987,13,450000
31330,M,5/29/1986,14,600000
945679,M,9/27/1991,10,335000
743559,M,12/13/1991,11,150000
795018,M,6/26/1991,10,180000
1288243,M,8/18/1992,10,360000
662316,M,12/19/1990,11,180000
553393,F,10/24/1990,11,180000
928178,M,10/8/1991,11,240000
1044834,M,9/26/1993,10,350000
47016,M,2/29/1988,14,400000
1255815,M,8/21/1993,9,150000
1293567,M,5/27/1992,9,150000
449905,F,10/12/1990,12,455000
1037712,M,7/10/1992,11,240000
258837,M,7/28/1988,13,350000
336787,F,6/3/1991,12,385000
509967,M,7/23/1990,12,440000
798860,M,9/28/1991,11,380000
334430,M,9/9/1989,12,420000
331226,F,4/2/1991,12,360000
794736,M,11/30/1990,10,320000
325423,M,11/16/1989,12,355000
823924,M,9/1/1991,10,180000
244806,M,10/30/1989,13,490000
206788,M,7/15/1987,13,300000
803778,M,4/24/1992,11,2000000
1125281,M,11/1/1991,9,120000
133803,F,3/6/1987,14,240000
1244355,M,6/8/1992,10,325000
1204764,M,1/23/1993,10,100000
1187199,M,12/22/1988,12,180000
1083692,M,3/12/1993,9,250000
1045625,M,9/11/1992,10,300000
662630,M,11/20/1991,11,220000
768298,M,8/17/1993,9,1500000
212018,F,1/11/1988,13,275000
997622,M,9/14/1993,10,500000
627921,M,11/15/1991,12,510000
856638,M,6/1/1993,11,185000
514622,M,9/13/1990,12,490000
818479,M,9/29/1992,10,300000
530225,M,1/14/1992,11,410000
390024,M,1/24/1991,12,225000
1297757,M,3/8/1988,11,100000
336591,F,6/30/1991,12,330000
1060355,M,9/13/1992,10,300000
1288236,M,9/14/1992,10,325000
837194,M,10/26/1991,11,310000
593198,M,11/10/1991,11,120000
817070,M,6/5/1989,11,525000
1072592,M,10/11/1991,11,230000
872267,M,3/25/1992,10,300000
1183033,F,2/10/1993,10,305000
894646,M,5/12/1993,10,205000
140069,F,7/25/1988,14,320000
207052,M,10/2/1988,13,510000
1087164,F,8/11/1992,10,205000
1077918,M,6/4/1988,11,140000
633445,M,6/5/1991,11,360000
227704,F,1/29/1990,13,375000
224906,M,10/21/1985,13,180000
844474,M,8/13/1992,11,195000
430002,M,1/29/1991,12,310000
965223,M,5/22/1992,10,325000
813473,F,7/17/1992,12,275000
78936,M,8/24/1988,14,375000
280505,F,3/24/1990,13,515000
276354,F,1/14/1990,13,380000
327206,M,4/7/1988,11,350000
1192794,F,8/6/1992,10,265000
624680,F,3/22/1992,11,325000
538185,M,8/17/1991,11,380000
898205,M,3/24/1992,10,340000
306449,M,8/12/1989,13,280000
553697,M,12/25/1991,11,410000
1202633,M,8/30/1992,11,300000
319644,F,7/3/1991,12,395000
212917,M,5/10/1990,13,90000
313765,M,6/19/1989,14,300000
128849,M,7/28/1988,15,160000
425362,F,8/5/1991,12,145000
